sample_id,circuit_name,implementation_id,config_hash,white_space_ratio,white_space_clustering,routing_congestion,routing_overflow,signal_activity,avg_transition_probability,cc0_average,cc1_average,observability_average,observability_variance,critical_path_delay,average_path_delay,vulnerability_score,vulnerability_label,white_space_ratio_normalized,white_space_clustering_normalized,routing_congestion_normalized,routing_overflow_normalized,signal_activity_normalized,avg_transition_probability_normalized,cc0_average_normalized,cc1_average_normalized,observability_average_normalized,observability_variance_normalized,critical_path_delay_normalized,average_path_delay_normalized,vulnerability_score_normalized,split
1686,c3540,87,c44fec0b0466cf08,0.73,0.30390155192286333,0.0,0.0,0.4616809930872861,0.5236638357475125,0.9042966726948556,0.7386445269205448,0.0,0.024740066289683765,0.35,0.22143619638614478,0.23861160392761824,Medium,0.776595744680851,0.32639813865069756,0.0,0.0,0.46194373754612744,0.5270343040744285,0.8256254927922874,0.5022145427775779,0.0,0.1779544142051629,0.0,0.054455284041477564,0.3661739312634354,train
5900,s349,301,f56b95623b47603b,0.9,0.3922446920213972,0.0,0.0,0.6787642768749967,0.5625618707212902,0.6051098128378586,0.6503966938769408,0.027751159087046152,0.02660748293326581,0.5,0.33725142744083575,0.29541532587200897,High,0.9574468085106382,0.48746245549308187,0.0,0.0,0.6791505642796737,0.5905026984189511,0.2804975153266335,0.33413507842619,0.11840413170107376,0.20049943051341346,0.6000000000000001,0.6060550590724617,0.5884699143910843,train
3707,c880,108,dda2d44339b1fa1e,0.775,0.24568004567659532,0.0,0.0,0.3100105313254733,0.4880801494362934,0.8510597832557703,0.789232157289469,0.0,0.015657906545257665,0.35,0.2135148358214118,0.2123261402143673,Low,0.8244680851063829,0.2202505971592967,0.0,0.0,0.31018695953132935,0.46897380213507023,0.7286261864712731,0.598565257825884,0.0,0.0683069821465834,0.0,0.016727770435062,0.26330825982339234,train
447,c17,48,e0accac4dd0b330b,0.5,0.3101561082690172,0.0,0.0,0.22308205178448473,0.41524476524073073,0.8186432419852016,0.9071898416665037,0.06033216874359412,0.01,0.35,0.2370343672866106,0.19744287321676204,Low,0.5319148936170213,0.33780124073561185,0.0,0.0,0.223209008652649,0.35013116935233163,0.669562216924939,0.8232309943366688,0.2574154842080973,0.0,0.0,0.12874557799710395,0.20506400476167524,train
4002,s208,3,479659cabf16796a,0.4,0.318623067935568,0.015844495970606335,0.0,0.4368754377517506,0.45112664883267783,0.6251341427677649,0.618836434622623,0.007614233308753729,0.01,0.5,0.32838339007202233,0.2891000605142223,Medium,0.425531914893617,0.35323792402425197,0.06007321370836193,0.0,0.43712406527203373,0.4086782280706755,0.3169824815447764,0.2740244639521146,0.032487172181331084,0.0,0.6000000000000001,0.5638187541144903,0.5637557218458229,train
6860,s400,61,aefa08617bcde72a,0.85,0.4277739785284114,0.0411482536903548,0.0,0.6094317557954443,0.46770721440302243,0.5953277582232195,0.6362326264454303,0.0,0.01,0.5,0.304252802650504,0.30253461069135296,High,0.9042553191489361,0.5522382858831604,0.15601050625102225,0.0,0.6097785857912092,0.43573208502728683,0.2626743005969306,0.30715777162083313,0.0,0.0,0.6000000000000001,0.4488906356635632,0.6163305609105347,train
2242,c432,243,e06af6bd6f096d8f,0.55,0.4208319148368263,0.009308481414574979,0.0,0.14664286335797783,0.40474119617455867,0.8465953493600418,0.8863866264765782,0.01417070249926462,0.04552498069352533,0.5,0.3412930361779004,0.1899535713053042,Low,0.5851063829787234,0.5395817429448588,0.03529240654644055,0.0,0.14672631838504813,0.33299290866728304,0.7204918458746613,0.7836085679799598,0.06046124847458602,0.42888729295542743,0.6000000000000001,0.6253042584206491,0.1757553314149333,train
7560,s420,361,a513ad5d116b932e,0.9333333333333333,0.44897521956680925,0.0,0.0,0.587781584903082,0.5231054031928252,0.630359514314258,0.752829786282836,0.0,0.01,0.5,0.3268207338683432,0.27134932311558074,Medium,0.9929078014184397,0.5908916934963785,0.0,0.0,0.5881160937019163,0.5261231316303806,0.32650327475076085,0.5292322123686413,0.0,0.0,0.6000000000000001,0.5563762027112718,0.49428989309018784,train
8625,s526,226,6a116911a461ef0d,0.7,0.2508486009375187,0.0,0.0,0.5684024795772105,0.4927933515963333,0.6629583470881306,0.5864375271231912,0.08038374591189781,0.01,0.35,0.23182039444944993,0.2819762082294353,Medium,0.7446808510638296,0.22967373766838703,0.0,0.0,0.5687259596514105,0.47666414879449726,0.3858993852158264,0.21231653492700236,0.34296829216120045,0.0,0.0,0.1039126936018093,0.5358772009831727,train
2076,c432,77,8ff04cceeddffa01,0.6625000000000001,0.4226102787804076,0.0,0.0,0.42009572527276146,0.4640520374181555,0.8622984715916092,0.7989590741454676,0.07361113226143219,0.01520310666628491,0.55,0.3616743220980605,0.22489694492027576,Low,0.7047872340425533,0.542823997786045,0.0,0.0,0.4203348033930459,0.42976807644868,0.7491034341846621,0.6170914348271812,0.3140720058433962,0.06281625744748084,0.8000000000000003,0.722375365787292,0.3125029128347087,train
3253,c7552,54,81af3ccf5506ab26,0.55,0.46411506894271143,0.0,0.0,0.03829753404992996,0.29239486071308024,0.874913219555592,0.8530692681983242,0.012167519000456614,0.02372543172010253,0.6,0.40661711000197415,0.17096903548946632,Low,0.5851063829787234,0.61849417054334,0.0,0.0,0.03831932932634283,0.14968181012366819,0.7720879063206769,0.7201513301093685,0.05191439095161518,0.1657048966715474,1.0,0.9364269328506718,0.10146114946792661,train
